"lng","lat"
-76.20080999999999,40.60702089999999
-74.8507131,41.3277635
-101.9690458,33.60361779999999
-88.06564449999999,30.6804215
-99.9545472,49.8712765
-77.37,35.59
-77.3439283,38.6418278
-95.8353837,36.2726958
-83.9214896,36.1199761
-80.7657804,27.7562992
-76.860565,39.1426709
-71.3705616,41.7068743
-88.59517509999999,32.3029712
-108.7600963,35.5057603
-80.09260139999999,26.6561841
-106.8650395,35.1128064
-104.6620599,50.477804
-82.06250519999999,33.296831
-86.2970998,37.4529896
-93.29861059999999,37.294172
-97.27607599999999,32.6765319
-80.6659842,35.4989016
-118.0947106,33.9870228
-117.3851496,34.216765
-95.7405139,36.4392472
-97.4597725,34.9638219
-85.47880649999999,39.3574436
-79.2445863,43.7210944
-81.27390729999999,35.4902575
-77.58486649999999,38.3056063
-86.2463337,39.6841663
-83.8078525,39.9260873
-77.3727724,44.1758731
-114.0411811,48.43888459999999
-82.6915429,31.0100737
-82.34518899999999,31.8081037
-79.4028639,40.289828
-81.5377013,31.3262391
-89.68162079999999,36.154119
-73.6830521,40.7960005
-87.0424393,33.9619019
-86.1955169,35.352762
-99.03499769999999,40.7458129
-97.47059349999999,35.3459327
-88.6530753,42.6410322
-103.4785999,50.1646805
-74.2061931,40.0207099
-86.6409554,33.7286079
-155.9036295,19.7992907
-157.7973653,21.2868901
-76.9239727,38.8370963
-96.5143087,33.0215727
-75.5626039,40.5210582
-82.49693309999999,29.8303455
-79.4677517,44.2190716
-84.15406589999999,39.6801641
-75.4985521,40.6572331
-85.21012689999999,35.14242
-79.67266320000002,41.4350579
-83.357567,40.2612116
-73.0700421,41.3135201
-97.55722310000002,35.3187169
-83.13273319999999,42.66789139999999
-119.6499162,39.38313910000001
-75.37036619999999,39.8904496
-81.73494199999999,34.0972043
-120.9646866,37.5350396
-111.7383162,33.3345698
-85.6537627,30.2371159
-75.37036619999999,39.8400941
-77.5275463,39.0118703
-74.9793243,39.7236859
-83.4963567,42.3373253
-89.294221,37.6684862
-84.3121264,31.1830005
-117.5848025,34.0965313
-88.3044908,42.3223041
-79.67266320000002,43.0743806
-122.7999141,45.4618042
-88.7301525,43.6496932
-78.72494689999999,39.6570823
-121.7594384,37.373498
-74.1269322,41.0145518
-83.4430118,39.89867
-95.38,29.76
-80.223651,25.990696
-81.19679579999999,28.6777437
-88.8455037,42.2501791
-86.7114545,36.2722491
-81.40591859999999,43.06451269999999
-96.9907197,32.9117167
-83.8791074,33.9678577
-72.0882938,41.9352622
-119.2461499,50.6953906
-75.17788530000001,42.880353
-78.1792434,38.9467949
-75.73882600000002,45.38224410000001
-95.16406049999999,37.5047589
-73.2411506,40.7360384
-84.0854432,39.764031
-73.471054,40.7848157
-112.0438515,40.2905069
-75.1662121,38.4646146
-90.2526163,38.7470186
-122.6880503,45.5266975
-80.5216184,35.3898417
-82.9178838,42.5573163
-94.29488839999999,33.5209715
-121.687948,42.1675574
-84.3121264,38.3893068
-95.9092754,36.1933771
-84.3436881,33.9900649
-76.36951669999999,36.8130915
-122.4780243,47.2019421
-84.25421949999999,39.8340845
-74.95594799999999,40.2626407
-84.3121264,38.3893068
-86.3680869,32.4737616
-78.82977009999999,42.8671413
-88.3598998,38.3786646
-80.5549561,40.4205935
-96.0044121,35.8742869
-80.38813329999999,40.6989853
-79.9472502,40.5253926
-104.9213643,39.7619439
-111.8091625,34.8905205
-80.1316927,26.6064003
-81.18577359999999,28.4107024
-78.7589558,42.9202891
-83.6561215,35.769927
-76.5025742,37.4128281
-79.67266320000002,43.0743806
-122.043969,37.5952304
-73.6241855,40.6986257
-87.8598861,41.904735
-96.55698819999999,32.6149346
-113.8822686,32.7735395
-84.7211074,39.0871388
-84.21734029999999,39.703893
-89.2657266,30.410662
-122.5712101,37.9060624
-111.4124518,47.5359809
-81.68020539999999,38.4517329
-121.2282958,38.0445015
-92.341887,30.7369481
-114.3715245,62.4494655
-84.2701755,46.6530008
-84.44877199999999,34.1280759
-93.88589549999999,35.9178787
-118.1239717,33.8822393
-71.7385225,42.52334339999999
-122.2671318,49.0701792
-89.7379958,31.2165811
-155.7134009,20.0390812
-94.25897379999999,39.009186
-120.2051096,36.9152938
-123.8107413,46.974404
-81.57061089999999,41.1426985
-79.8520818,32.8234848
-122.628611,45.4485068
